ID,Title,URL,Published Date,Risk Level,Category,Summary
187,Infocon: green,https://isc.sans.edu/diary.html?rss,2025-10-26,HIGH,Phishing,"The threat described in the article is a sophisticated phishing campaign targeting users' cloud accounts with emails designed to look legitimate but are actually fraudulent, aiming to extract sensitive information such as login credentials. This type of attack poses significant risks as it can lead to unauthorized access and potential financial loss if the victim falls for the scam. The phishing emails have been received over two months by the user, indicating a prolonged campaign that could still be active. Additionally, there is evidence of another threat in the form of an infostealer targeting Android devices, which highlights the broader cyber threats affecting both cloud account security and mobile device data integrity.

Business implications include increased awareness and training for employees to recognize phishing attempts, implementing robust multi-factor authentication practices for cloud accounts, and deploying advanced anti-phishing tools to detect and block similar attacks. The discovery of an infostealer on Android devices also emphasizes the need for comprehensive mobile security measures and user education."
67,New CoPhish attack steals OAuth tokens via Copilot Studio agents,https://www.bleepingcomputer.com/news/security/new-cophish-attack-steals-oauth-tokens-via-copilot-studio-agents/,2025-10-25,HIGH,Phishing,"The CoPhish attack is a sophisticated phishing campaign that exploits the trustworthiness of Microsoft Copilot Studio agents, delivering fraudulent OAuth consent requests through legitimate Microsoft domains. This technique capitalizes on users' confidence in Microsoft services to gain unauthorized access to their accounts and potentially sensitive information. The impact extends beyond individual user data compromise; it could also affect corporate networks by granting attackers access to internal systems and confidential business data.

Businesses relying on Copilot Studio should immediately review and update their security protocols to prevent such phishing attacks, emphasizing the importance of verifying the authenticity of any request for OAuth tokens. Implementing multi-factor authentication (MFA) and regular training for employees to recognize and avoid phishing attempts can further mitigate this risk."
104,OpenAI Atlas Omnibox Is Vulnerable to Jailbreaks,https://www.securityweek.com/chatgpt-atlas-omnibox-is-vulnerable-to-jailbreaks/,2025-10-25,HIGH,Vulnerability,"This vulnerability involves a prompt that can be disguised as a URL and accepted by OpenAI's Atlas system in the omnibox, potentially allowing for unauthorized access or data leakage. The issue is significant because it bypasses security measures designed to prevent such manipulations. This flaw could lead to remote code execution or other malicious activities if exploited, posing a high risk to users and organizations relying on the Atlas platform for secure interactions."
162,"Russian Rosselkhoznadzor hit by DDoS attack, food shipments across Russia delayed",https://securityaffairs.com/183845/security/russian-rosselkhoznadzor-hit-by-ddos-attack-food-shipments-delayed.html,2025-10-25,HIGH,Malware,"A DDoS attack targeted Russia's Rosselkhoznadzor, a government agency responsible for food safety and veterinary surveillance. The cyberattack affected the VetIS and Saturn tracking systems, disrupting food shipments across Russia. This incident highlights the potential risks of cyber threats to critical infrastructure and supply chains, particularly in sectors like agriculture where delays can have significant economic impacts. The attack also underscores the need for robust cybersecurity measures to protect government agencies and their operations from such disruptions."
163,CVE-2025-59287: Microsoft fixes critical WSUS flaw under active attack,https://securityaffairs.com/183830/security/cve-2025-59287-microsoft-fixes-critical-wsus-flaw-under-active-attack.html,2025-10-25,HIGH,Vulnerability,"The critical WSUS RCE vulnerability CVE-2025-59287 has been under active attack since its discovery by researchers MEOW and Markus Wulftange of CODE WHITE GmbH. This flaw, rated CVSS 9.8, is a deserialization of untrusted data in Windows Server Update Service that allows remote, unauthenticated attackers to execute code with SYSTEM privileges. The vulnerability stems from insecure BinaryFormatter use, which Microsoft has deprecated and removed from .NET 9 due to security risks. As a result, Microsoft released an out-of-band fix for the affected versions of Windows Server, including those running the WSUS service. This update requires a reboot post-installation. CISA added this vulnerability to its Known Exploited Vulnerabilities catalog, highlighting its critical nature. Attacks exploiting the flaw have been reported in the wild and confirmed by Dutch NCSC on October 24, 2025. Cybersecurity firm Huntress has also detailed detection of exploitation attempts targeting exposed WSUS endpoints."
68,Hackers launch mass attacks exploiting outdated WordPress plugins,https://www.bleepingcomputer.com/news/security/hackers-launch-mass-attacks-exploiting-outdated-wordpress-plugins/,2025-10-24,HIGH,Malware,"This exploit targets outdated versions of the GutenKit and Hunk Companion WordPress plugins, which are widely used for website design customization. The vulnerabilities allow attackers to execute arbitrary code remotely, posing a significant threat to affected websites. This campaign has led to multiple breaches across various industries, affecting businesses that rely on these plugins for their online presence. Improper patching of software is often cited as the root cause behind such security lapses. The impact extends beyond mere data loss; it compromises trust and integrity in digital services."
69,Critical WSUS flaw in Windows Server now exploited in attacks,https://www.bleepingcomputer.com/news/security/hackers-now-exploiting-critical-windows-server-wsus-flaw-in-attacks/,2025-10-24,HIGH,Vulnerability,"The recent discovery of a critical-severity WSUS vulnerability in Windows Server represents a significant threat to organizations relying on this system for software updates. The vulnerability, which allows remote attackers to execute arbitrary code with elevated privileges, has already been exploited by malicious actors. This exploit could lead to unauthorized access and data breaches, impacting not only the affected systems but potentially spreading to other connected networks via shared vulnerabilities. The business implications are severe, as companies must now prioritize immediate patching and possibly implement stricter security measures to prevent future attacks."
70,Fake LastPass death claims used to breach password vaults,https://www.bleepingcomputer.com/news/security/fake-lastpass-death-claims-used-to-breach-password-vaults/,2025-10-24,HIGH,Phishing,"This phishing campaign targeting LastPass users involves fraudulent emails claiming to be from LastPass, requesting access to user accounts for a supposed 'legacy inheritance' process. The email appears legitimate and includes links directing recipients to a fake LastPass login page designed to capture credentials. Once compromised, attackers can gain unauthorized access to the password vaults containing sensitive information such as usernames, passwords, and other personal data. This breach not only threatens user privacy but also poses significant risks to financial security and business continuity if critical company or personal accounts are affected."
71,Windows Server emergency patches fix WSUS bug with PoC exploit,https://www.bleepingcomputer.com/news/security/microsoft-releases-windows-server-emergency-updates-for-critical-wsus-rce-flaw/,2025-10-24,HIGH,Vulnerability,"This incident involves a critical-severity vulnerability in Microsoft's Windows Server Update Service (WSUS), which is used for distributing updates to various Windows devices. The vulnerability, with publicly available proof-of-concept exploit code, poses a significant threat as it allows attackers to potentially bypass security restrictions and gain unauthorized access to systems through WSUS. This could lead to widespread malware distribution and system compromise across organizations that rely on WSUS for software updates. Immediate patching is crucial to mitigate the risk of exploitation and potential data breaches."
72,"Hackers earn $1,024,750 for 73 zero-days at Pwn2Own Ireland",https://www.bleepingcomputer.com/news/security/hackers-earn-1-024-750-for-73-zero-days-at-pwn2own-ireland/,2025-10-24,HIGH,Malware,"In the Pwn2Own Ireland 2025 hacking competition, hackers successfully exploited a total of 73 zero-day vulnerabilities, earning them and their teams a staggering $1,024,750 in cash awards. This significant achievement highlights the ongoing threat posed by zero-day vulnerabilities, which are yet to be patched or discovered by vendors at the time of exploitation. The breach not only showcases the capabilities of skilled hackers but also emphasizes the need for continuous security monitoring and prompt patch management across various platforms and devices. The impact on businesses is substantial as they face potential exposure to cyber threats that could lead to unauthorized access, data theft, and financial loss."
